id,task1,task2,task3,task4,task5
ANS00001,1.0,2,0.0,2,0.0
ANS00002,0.0,0,1768.2382861583392,0,0.0
ANS00003,1.0,0,178031.88991986052,0,0.0
ANS00004,0.0,1,0.0,0,0.0
ANS00005,0.0,0,0.0,0,0.0
ANS00006,1.0,2,0.0,2,0.0
ANS00007,0.0,1,0.0,3,0.0
ANS00008,1.0,0,11058.675176775192,0,0.0
ANS00009,1.0,0,0.0,3,0.0
ANS00010,0.0,1,0.0,0,0.0
ANS00011,0.0,2,0.0,0,0.0
ANS00012,0.0,0,0.0,2,0.0
ANS00013,0.0,0,0.0,2,0.0
ANS00014,0.0,1,2728.6056883730494,0,0.0
ANS00015,0.0,2,0.0,4,0.0
ANS00016,1.0,0,0.0,2,0.0
ANS00017,0.0,0,0.0,2,0.0
ANS00018,0.0,0,0.0,3,0.0
ANS00019,1.0,0,0.0,4,0.0
ANS00020,1.0,0,0.0,0,0.0
ANS00021,0.0,1,0.0,2,0.0
ANS00022,0.0,0,0.0,2,0.0
ANS00023,0.0,0,112118.25742995657,2,0.0
ANS00024,0.0,0,2156.5224982522122,0,0.0
ANS00025,1.0,0,0.0,2,0.0
ANS00026,0.0,3,117297.55575573807,2,0.0
ANS00027,1.0,3,0.0,2,0.0
ANS00028,0.0,2,0.0,2,0.0
ANS00029,0.0,0,0.0,2,0.0
ANS00030,0.0,2,0.0,0,0.0
ANS00031,1.0,2,4314.528561657922,3,0.0
ANS00032,0.0,1,0.0,2,0.0
ANS00033,0.0,0,0.0,3,0.0
ANS00034,0.0,3,0.0,3,0.0
ANS00035,0.0,2,1757.7786813098896,4,0.0
ANS00036,1.0,1,0.0,3,0.0
ANS00037,0.0,2,0.0,4,0.0
ANS00038,0.0,3,0.0,2,0.0
ANS00039,1.0,0,35465.035008104715,0,0.0
ANS00040,0.0,0,1028.1148019296218,0,0.0
ANS00041,0.0,2,89565.24542307897,1,0.0
ANS00042,0.0,0,34288.33870211361,0,0.0
ANS00043,1.0,2,775.3544670620013,0,0.0
ANS00044,0.0,0,178823.8273138064,0,0.0
ANS00045,0.0,0,0.0,4,0.0
ANS00046,1.0,3,1216.4190606680327,0,0.0
ANS00047,0.0,1,0.0,3,0.0
ANS00048,1.0,1,3077.670926234563,3,0.0
ANS00049,0.0,2,0.0,2,0.0
ANS00050,0.0,0,73670.03848423655,2,0.0
ANS00051,1.0,0,0.0,3,0.0
ANS00052,1.0,2,0.0,2,0.0
ANS00053,0.0,0,0.0,2,0.0
ANS00054,1.0,0,2572.968757439954,4,0.0
ANS00055,0.0,0,878.7236049272157,3,0.0
ANS00056,1.0,0,82241.59127339773,3,0.0
ANS00057,0.0,0,991.7433427824785,0,0.0
ANS00058,0.0,0,189082.3782919905,3,0.0
ANS00059,1.0,0,4830.669550499446,4,0.0
ANS00060,0.0,3,33751.677718437124,2,0.0
ANS00061,0.0,3,2874.958729768099,0,0.0
ANS00062,0.0,2,5064.169008882355,2,0.0
ANS00063,1.0,1,1694.640477301608,0,0.0
ANS00064,0.0,1,1498.5460520938555,2,0.0
ANS00065,1.0,1,0.0,1,0.0
ANS00066,0.0,2,5828.423389144353,3,0.0
ANS00067,1.0,3,0.0,0,0.0
ANS00068,0.0,1,123954.07545848122,2,0.0
ANS00069,0.0,2,3010.0039463082944,3,0.0
ANS00070,1.0,1,0.0,1,0.0
ANS00071,0.0,2,2275.8558702966106,3,0.0
ANS00072,1.0,0,4210.705773029188,3,0.0
ANS00073,1.0,0,3760.9464105809666,3,0.0
ANS00074,1.0,2,89459.3055942637,0,0.0
ANS00075,1.0,2,0.0,0,0.0
ANS00076,0.0,1,0.0,0,0.0
ANS00077,1.0,0,35535.66010975162,2,0.0
ANS00078,1.0,0,2721.9912894608738,3,0.0
ANS00079,1.0,1,0.0,1,0.0
ANS00080,1.0,2,0.0,0,0.0
ANS00081,1.0,0,0.0,0,0.0
ANS00082,1.0,2,0.0,1,0.0
ANS00083,0.0,0,91499.60615207322,2,0.0
ANS00084,1.0,0,59214.25757107411,2,0.0
ANS00085,1.0,2,73000.79628539606,0,0.0
ANS00086,1.0,1,6533.692941053873,3,0.0
ANS00087,0.0,0,94671.19826829444,2,0.0
ANS00088,0.0,0,2595.751910555684,2,0.0
ANS00089,0.0,1,3868.499580412203,2,0.0
ANS00090,1.0,2,0.0,4,0.0
ANS00091,0.0,0,3353.5006630100675,0,0.0
ANS00092,1.0,2,0.0,2,0.0
ANS00093,1.0,0,0.0,4,0.0
ANS00094,0.0,1,0.0,2,0.0
ANS00095,0.0,0,34583.121533343874,2,0.0
ANS00096,0.0,3,119900.8108505555,0,0.0
ANS00097,0.0,0,0.0,4,0.0
ANS00098,0.0,2,0.0,0,0.0
ANS00099,1.0,0,0.0,3,0.0
ANS00100,1.0,0,821.5486163843066,3,0.0
ANS00101,0.0,2,0.0,3,0.0
ANS00102,0.0,0,0.0,3,0.0
ANS00103,1.0,0,0.0,0,0.0
ANS00104,1.0,0,0.0,0,0.0
ANS00105,1.0,3,0.0,3,0.0
ANS00106,0.0,3,3062.1958650806514,3,0.0
ANS00107,1.0,0,2013.3287381911312,3,0.0
ANS00108,0.0,1,0.0,0,0.0
ANS00109,1.0,2,79180.20868585802,1,0.0
ANS00110,0.0,1,0.0,0,0.0
ANS00111,1.0,2,17863.59287348421,2,0.0
ANS00112,0.0,0,0.0,2,0.0
ANS00113,0.0,1,6115.528646774525,2,0.0
ANS00114,1.0,1,3067.6255093392565,3,0.0
ANS00115,1.0,0,651.118956275822,2,0.0
ANS00116,0.0,0,0.0,0,0.0
ANS00117,0.0,0,128683.70011429832,0,0.0
ANS00118,1.0,1,0.0,0,0.0
ANS00119,1.0,0,0.0,4,0.0
ANS00120,0.0,1,0.0,2,0.0
ANS00121,1.0,0,0.0,3,0.0
ANS00122,1.0,0,0.0,0,0.0
ANS00123,0.0,1,0.0,2,0.0
ANS00124,0.0,2,0.0,3,0.0
ANS00125,0.0,0,2612.9207269433136,0,0.0
ANS00126,0.0,0,0.0,3,0.0
ANS00127,1.0,0,41598.13671158606,3,0.0
ANS00128,0.0,2,1911.244829777256,0,0.0
ANS00129,0.0,0,72138.39664973423,4,0.0
ANS00130,1.0,0,1229.2105878064924,2,0.0
ANS00131,0.0,1,0.0,1,0.0
ANS00132,0.0,0,0.0,0,0.0
ANS00133,0.0,1,0.0,0,0.0
ANS00134,1.0,1,0.0,3,0.0
ANS00135,0.0,1,1162.3728487866833,3,0.0
ANS00136,0.0,2,0.0,0,0.0
ANS00137,1.0,1,0.0,3,0.0
ANS00138,0.0,0,0.0,2,0.0
ANS00139,0.0,1,1536.2134264659296,0,0.0
ANS00140,0.0,0,0.0,2,0.0
ANS00141,0.0,0,76377.08729229106,2,0.0
ANS00142,0.0,0,0.0,3,0.0
ANS00143,0.0,1,0.0,3,0.0
ANS00144,1.0,3,0.0,0,0.0
ANS00145,0.0,1,0.0,0,0.0
ANS00146,0.0,3,65188.48382697857,2,0.0
ANS00147,1.0,1,2467.6239006801925,3,0.0
ANS00148,0.0,2,1690.7155012654891,0,0.0
ANS00149,0.0,2,0.0,0,0.0
ANS00150,0.0,2,0.0,3,0.0
ANS00151,1.0,1,102828.81428501084,0,0.0
ANS00152,0.0,0,2597.4550320485896,3,0.0
ANS00153,1.0,0,0.0,3,0.0
ANS00154,0.0,1,0.0,2,0.0
ANS00155,1.0,2,0.0,0,0.0
ANS00156,0.0,0,2835.0787904866606,2,0.0
ANS00157,1.0,3,5760.992094868117,3,0.0
ANS00158,1.0,0,899.9580441413964,3,0.0
