,0
0,2
1,0
2,0
3,1
4,0
5,2
6,1
7,0
8,0
9,1
10,2
11,0
12,0
13,1
14,2
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,3
26,3
27,2
28,0
29,2
30,2
31,1
32,0
33,3
34,2
35,1
36,2
37,3
38,0
39,0
40,2
41,0
42,2
43,0
44,0
45,3
46,1
47,1
48,2
49,0
50,0
51,2
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,3
60,3
61,2
62,1
63,1
64,1
65,2
66,3
67,1
68,2
69,1
70,2
71,0
72,0
73,2
74,2
75,1
76,0
77,0
78,1
79,2
80,0
81,2
82,0
83,0
84,2
85,1
86,0
87,0
88,1
89,2
90,0
91,2
92,0
93,1
94,0
95,3
96,0
97,2
98,0
99,0
100,2
101,0
102,0
103,0
104,3
105,3
106,0
107,1
108,2
109,1
110,2
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,1
120,0
121,0
122,1
123,2
124,0
125,0
126,0
127,2
128,0
129,0
130,1
131,0
132,1
133,1
134,1
135,2
136,1
137,0
138,1
139,0
140,0
141,0
142,1
143,3
144,1
145,3
146,1
147,2
148,2
149,2
150,1
151,0
152,0
153,1
154,2
155,0
156,3
157,0
158,1
159,1
160,1
161,0
162,0
163,2
164,0
165,3
166,0
167,2
168,3
169,2
170,0
171,0
172,3
173,2
174,3
175,0
176,0
177,0
178,3
179,1
180,3
181,2
182,1
183,3
184,0
185,0
186,3
187,3
188,2
189,2
190,3
191,0
192,0
193,0
194,2
195,1
196,2
197,0
198,3
199,0
200,1
201,1
202,2
203,3
204,0
205,3
206,2
207,1
208,1
209,0
210,1
211,2
212,2
213,1
214,3
215,0
216,2
217,0
218,1
219,2
220,2
221,2
222,0
223,2
224,1
225,2
226,3
227,2
228,2
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,2
238,3
239,0
240,3
241,1
242,3
243,3
244,0
245,2
246,0
247,1
248,2
249,3
250,0
251,0
252,2
253,0
254,1
255,0
256,3
257,1
258,0
259,1
260,1
261,2
262,1
263,0
264,0
265,2
266,3
267,1
268,2
269,1
270,0
271,3
272,1
273,0
274,1
275,2
276,3
277,1
278,0
279,0
280,0
281,2
282,2
283,3
284,1
285,2
286,3
287,2
288,1
289,0
290,3
291,1
292,3
293,1
294,1
295,0
296,0
297,1
298,1
299,3
300,2
301,0
302,0
303,1
304,3
305,0
306,0
307,1
308,2
309,0
310,0
311,3
312,0
313,0
314,1
315,1
316,0
317,0
318,0
319,2
320,0
321,2
322,2
323,0
324,1
325,0
326,1
327,3
328,1
329,2
330,3
331,3
332,0
333,2
334,2
335,1
336,0
337,0
338,2
339,1
340,2
341,0
342,0
343,2
344,3
345,3
346,2
347,1
348,0
349,2
350,3
351,1
352,3
353,3
354,2
355,0
356,0
357,1
358,0
359,2
360,2
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,0
371,2
372,1
373,0
374,1
375,1
376,3
377,0
378,0
379,0
380,1
381,3
382,0
383,0
384,3
385,0
386,0
387,3
388,0
389,3
390,3
391,0
392,2
393,1
394,2
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,2
403,1
404,1
405,1
406,2
407,0
408,3
409,0
410,0
411,3
412,0
413,0
414,0
415,0
416,2
417,0
418,0
419,1
420,1
421,0
422,0
423,3
424,0
425,2
426,0
427,0
428,3
429,0
430,0
431,3
432,0
433,0
434,1
435,0
436,1
437,3
438,1
439,0
440,0
441,0
442,0
443,1
444,3
445,2
446,0
447,0
448,3
449,0
450,3
451,0
452,3
453,1
454,0
455,1
456,2
457,0
458,0
459,1
460,1
461,3
462,3
463,0
464,2
465,1
466,1
467,0
468,3
469,0
470,0
471,0
472,0
473,0
474,0
475,1
476,2
477,3
478,3
479,1
480,2
481,2
482,1
483,2
484,1
485,1
486,3
487,1
488,0
489,0
490,2
491,2
492,0
493,1
494,3
495,0
496,0
497,1
498,2
499,2
500,0
501,0
502,0
503,1
504,3
505,2
506,2
507,0
508,2
509,0
510,1
511,2
512,1
513,3
514,2
515,1
516,3
517,2
518,2
519,2
520,0
521,1
522,3
523,3
524,3
525,1
526,0
527,2
528,0
529,0
530,3
531,1
532,3
533,0
534,3
535,1
536,2
537,1
538,0
539,0
540,0
541,0
542,1
543,1
544,1
545,0
546,0
547,1
548,3
549,1
550,2
551,1
552,0
553,3
554,0
555,2
556,0
557,0
558,3
559,3
560,1
561,1
562,0
563,1
564,3
565,1
566,1
567,3
568,0
569,2
570,2
571,1
572,1
573,1
574,1
575,0
576,0
577,2
578,2
579,3
580,2
581,2
582,3
583,0
584,0
585,0
586,3
587,0
588,0
589,0
590,2
591,0
592,2
593,1
594,0
595,1
596,1
597,3
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,1
611,2
612,2
613,1
614,0
615,1
616,0
617,0
618,2
619,0
620,2
621,3
622,1
623,1
624,0
625,1
626,2
627,0
628,0
629,0
630,1
631,0
632,1
633,1
634,2
635,0
636,2
637,1
638,0
639,0
640,3
641,2
642,3
643,0
644,2
645,2
646,0
647,3
648,3
649,3
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,1
658,1
659,2
660,3
661,1
662,0
663,2
664,1
665,3
666,0
667,0
668,0
669,0
670,2
671,1
672,2
673,1
674,3
675,1
676,3
677,1
678,2
679,3
680,0
681,1
682,0
683,0
684,0
685,2
686,2
687,0
688,2
689,2
690,0
691,1
692,2
693,1
694,3
695,1
696,0
697,0
698,3
699,1
700,0
701,0
702,2
703,0
704,2
705,1
706,1
707,2
708,0
709,2
710,1
711,0
712,3
713,0
714,1
715,0
716,1
717,0
718,0
719,2
720,2
721,1
722,3
723,3
724,0
725,1
726,0
727,1
728,0
729,0
730,3
731,2
732,1
733,2
734,3
735,2
736,1
737,0
738,0
739,0
740,2
741,0
742,0
743,0
744,0
745,1
746,0
747,0
748,0
749,1
750,0
751,2
752,3
753,1
754,3
755,3
756,3
757,0
758,1
759,2
760,1
761,2
762,2
763,2
764,1
765,2
766,2
767,3
768,0
769,2
770,3
771,2
772,1
773,1
774,0
775,0
776,2
777,2
778,3
779,0
780,1
781,3
782,0
783,3
784,3
785,1
786,3
787,0
788,3
789,0
790,0
791,2
792,2
793,1
794,1
795,0
796,0
797,1
798,1
799,3
800,2
801,0
802,1
803,0
804,0
805,0
806,3
807,2
808,1
809,0
810,1
811,2
812,1
813,0
814,2
815,3
816,0
817,0
818,2
819,2
820,0
821,3
822,3
823,3
824,1
825,1
826,1
827,0
828,1
829,1
830,2
831,0
832,2
833,2
834,0
835,1
836,3
837,0
838,3
839,3
840,1
841,3
842,1
843,1
844,0
845,1
846,3
847,3
848,1
849,0
850,0
851,0
852,0
853,3
854,1
855,2
856,2
857,0
858,3
859,1
860,1
861,3
862,2
863,1
864,0
865,1
866,2
867,2
868,3
869,1
870,0
871,3
872,0
873,2
874,0
875,0
876,0
877,1
878,1
879,1
880,0
881,1
882,3
883,2
884,0
885,0
886,1
887,2
888,3
889,2
890,0
891,0
892,0
893,3
894,0
895,2
896,3
897,0
898,2
899,1
900,1
901,3
902,2
903,3
904,3
905,1
906,2
907,0
908,3
909,3
910,1
911,1
912,1
913,2
914,2
915,0
916,0
917,3
918,2
919,0
920,1
921,1
922,3
923,2
924,0
925,0
926,3
927,0
928,1
929,0
930,0
931,1
932,0
933,2
934,1
935,0
936,0
937,0
938,0
939,1
940,2
941,0
942,1
943,0
944,3
945,3
946,0
947,1
948,0
949,0
950,2
951,2
952,3
953,3
954,1
955,3
956,0
957,0
958,0
959,1
960,0
961,2
962,0
963,0
964,3
965,3
966,2
967,0
968,3
969,2
970,1
971,0
972,3
973,0
974,0
975,1
976,3
977,0
978,0
979,0
980,0
981,0
982,0
983,1
984,2
985,3
986,3
987,0
988,2
989,2
990,2
991,1
992,2
993,0
994,3
995,0
996,0
997,3
998,0
999,1
1000,3
1001,3
1002,3
1003,0
1004,3
1005,0
1006,2
1007,1
1008,2
1009,3
1010,1
1011,1
1012,2
1013,0
1014,1
1015,2
1016,1
1017,3
1018,0
1019,1
1020,1
1021,1
1022,0
1023,0
1024,1
1025,1
1026,0
1027,1
1028,2
1029,3
1030,0
1031,3
1032,1
1033,0
1034,3
1035,3
1036,1
1037,0
1038,3
1039,0
1040,0
1041,2
1042,3
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,3
1050,0
1051,0
1052,3
1053,3
1054,3
1055,2
1056,2
1057,0
1058,1
1059,2
1060,3
1061,2
1062,0
1063,1
1064,0
1065,1
1066,1
1067,1
1068,2
1069,0
1070,1
1071,2
1072,2
1073,3
1074,0
1075,2
1076,1
1077,0
1078,0
1079,2
1080,0
1081,3
1082,0
1083,2
1084,0
1085,2
1086,0
1087,2
1088,0
1089,0
1090,2
1091,0
1092,0
1093,2
1094,0
1095,1
1096,0
1097,0
1098,0
1099,2
1100,2
1101,3
1102,0
1103,1
1104,2
1105,1
1106,2
1107,2
1108,0
1109,3
1110,2
1111,0
1112,1
1113,2
1114,0
1115,0
1116,3
1117,2
1118,3
1119,0
1120,3
1121,1
1122,0
1123,1
1124,0
1125,1
1126,3
1127,3
1128,2
1129,0
1130,0
1131,1
1132,3
1133,0
1134,2
1135,2
1136,0
1137,0
1138,0
1139,1
1140,0
1141,0
1142,3
1143,0
1144,0
1145,1
1146,0
1147,3
1148,0
1149,3
1150,2
1151,0
1152,2
1153,3
1154,3
1155,0
1156,0
1157,0
1158,1
